Zip Code,City/Township/Community,Municipal,County,State,Utility,Brand,Sub-territory BC
48193,Riverview,City,Wayne,Michigan,DTE,Provision,
48173,Rockwood,City,Wayne,Michigan,DTE,Provision,
48174,Romulus,City,Wayne,Michigan,DTE,Provision,
48195,Southgate,City,Wayne,Michigan,DTE,Provision,
48180,Taylor,City,Wayne,Michigan,DTE,Provision,
48183,Trenton,City,Wayne,Michigan,DTE,Provision,
48186,Westland,City,Wayne,Michigan,DTE,Provision,
48185,Westland,City,Wayne,Michigan,DTE,Provision,
48192,Wyandotte,City,Wayne,Michigan,DTE,Provision,
49601,Cadillac,City,Wexford,Michigan,DTE,Provision,
49663,Manton,City,Wexford,Michigan,DTE,Provision,
48203,Highland Park,City,Wayne,Michigan,DTE,Provision,
48141,Inkster,City,Wayne,Michigan,DTE,Provision,
48146,Lincoln Park,City,Wayne,Michigan,DTE,Provision,
48122,Melvindale,City,Wayne,Michigan,DTE,Provision,
48164,New Boston,Place,Wayne,Michigan,DTE,Provision,
48240,Redford,Township,Wayne,Michigan,DTE,Provision,
48239,Redford,Township,Wayne,Michigan,DTE,Provision,
48218,River Rouge,City,Wayne,Michigan,DTE,Provision,
48193,Riverview,City,Wayne,Michigan,DTE,Provision,
48173,Rockwood,City,Wayne,Michigan,DTE,Provision,
48174,Romulus,City,Wayne,Michigan,DTE,Provision,
48195,Southgate,City,Wayne,Michigan,DTE,Provision,
48180,Taylor,City,Wayne,Michigan,DTE,Provision,
48183,Trenton,City,Wayne,Michigan,DTE,Provision,
48186,Westland,City,Wayne,Michigan,DTE,Provision,
48185,Westland,City,Wayne,Michigan,DTE,Provision,
48192,Wyandotte,City,Wayne,Michigan,DTE,Provision,
49601,Cadillac,City,Wexford,Michigan,DTE,Provision,
49663,Manton,City,Wexford,Michigan,DTE,Provision,
